2024-09-16 03:45:06.658 [main] INFO  c.s.m.SchoolSpringProjectApplication - Starting SchoolSpringProjectApplication v0.0.1-SNAPSHOT using Java 17.0.5 with PID 9432 (C:\Users\ZEESHAN\Desktop\DockerCommandBeginner\bootdocker-project\schoolspringproject-0.0.1-SNAPSHOT.jar started by ZEESHAN in C:\Users\ZEESHAN\Desktop\DockerCommandBeginner\bootdocker-project)
2024-09-16 03:45:06.661 [main] INFO  c.s.m.SchoolSpringProjectApplication - No active profile set, falling back to 1 default profile: "default"
2024-09-16 03:45:07.335 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-09-16 03:45:07.394 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 50 ms. Found 2 JPA repository interfaces.
2024-09-16 03:45:08.277 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8082 (http)
2024-09-16 03:45:08.287 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8082"]
2024-09-16 03:45:08.291 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-09-16 03:45:08.292 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2024-09-16 03:45:08.338 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-09-16 03:45:08.339 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1580 ms
2024-09-16 03:45:08.549 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-09-16 03:45:08.638 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
2024-09-16 03:45:08.676 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2024-09-16 03:45:08.974 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-09-16 03:45:09.010 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-09-16 03:45:09.235 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@45bd4753
2024-09-16 03:45:09.237 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-09-16 03:45:09.279 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2024-09-16 03:45:10.144 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-09-16 03:45:10.369 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-09-16 03:45:10.931 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-09-16 03:45:11.417 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8082"]
2024-09-16 03:45:11.441 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8082 (http) with context path ''
2024-09-16 03:45:11.456 [main] INFO  c.s.m.SchoolSpringProjectApplication - Started SchoolSpringProjectApplication in 5.297 seconds (process running for 5.883)
